GeneSet	DESC	GeneSet,Genes
ELFN2	ELFN2	ELFN2,R3HDML,PINLYP,CILP2,PPP1R16A,LRRC3B,ELFN1,ACP7,PPP1R26,ACP1,S100A7L2
ELK3	ELK3	ELK3,ZNF354C,UBP1,GTF2I,ZNF304,FOXS1,GLIS1,MAZ,ZNF281,HOXA7,GLIS3
ELK4	ELK4	ELK4,KLF12,GLIS3,GLIS1,MZF1,ZNF263,MLX,NACC1,ERF,NFIX,MXI1
ELL	ELL	ELL,ICE2,ELL2,EAF1,TCEA1,ELOA2,FOXD3,SUPT4H1,HOXD4,NPAT,ZNF568
ELL2	ELL2	ELL2,ELOA2,ELOF1,TCEA1,EAF1,ELL,GTF2F2,MED29,TCEA2,ELOA,MED22
ELL3	ELL3	ELL3,E2F2,MED20,TCEA2,TFDP1,ELL,NFATC2,TAF6,MED23,SUPT4H1,ALX1
ELMO1	ELMO1	ELMO1,CDC42SE1,ELMO2,NISCH,ARHGAP25,ELMO3,CDC42SE2,DOCK1,SH3BP1,ARHGAP17,RAB39A
ELMO2	ELMO2	ELMO2,ELMO3,ELMO1,CEACAM4,TIMD4,GULP1,DOCK1,ICAM3,PDCD2L,CD302,ARHGAP25
ELMO3	ELMO3	ELMO3,ELMO2,TIMD4,ELMO1,GULP1,PDCD2L,RUFY2,DOCK1,ARHGAP25,CD302,PRUNE2
ELMOD1	ELMOD1	ELMOD1,ARL10,ARL9,TBC1D26,GRTP1,RERGL,GIMD1,AGAP9,AGAP5,AGAP6,AGAP4
ELMOD2	ELMOD2	ELMOD2,ABCF3,TBC1D3D,TBC1D3B,TBC1D3I,TBC1D3H,TBC1D3L,TBC1D3K,TBC1D3G,TBC1D3F,GARNL3
ELMOD3	ELMOD3	ELMOD3,ARL16,SMAP2,ASAP2,PPP1R18,WIPF2,GPN1,GPN3,IPP,CYS1,ANKS3
ELN	ELN	ELN,BMPR2,ADAMTS5,EFEMP2,ADAMTS19,COL14A1,COL13A1,SEMA3C,COL4A1,ADAMTS9,COL19A1
ELOA	ELOA	ELOA,ELOA2,ZNF446,MED26,ZNF649,HOMEZ,ZNF436,MED23,ZNF554,ZNF438,VRTN
ELOA2	ELOA2	ELOA2,TCEA1,ELL2,TCEA2,TCEA3,ELOF1,ELOA,ZNF768,RPAP1,GMEB2,ZNF438
ELOB	ELOB	ELOB,ELOC,MED18,MED10,MED8,MED11,MED7,MED27,MED31,MED30,MED6
ELOC	ELOC	ELOC,ELOB,MED27,MED7,MED18,MED8,MED11,MED10,DCAF6,MED17,MED31
ELOF1	ELOF1	ELOF1,ELOA2,ELL2,TCEA3,TCEA1,POLR1D,RPAP1,TCEA2,POLR2J3,EAF1,POLR2J2
ELOVL1	ELOVL1	ELOVL1,ELOVL2,ELOVL5,ELOVL7,ELOVL3,ELOVL6,ELOVL4,HACD1,HACD4,FADS3,HACD2
ELOVL2	ELOVL2	ELOVL2,ELOVL5,ELOVL3,ELOVL7,ELOVL1,ELOVL6,ELOVL4,FADS1,HACD1,HACD4,TECR
ELOVL3	ELOVL3	ELOVL3,ELOVL2,ELOVL5,ELOVL6,ELOVL7,ELOVL1,ELOVL4,FADS1,SCD,HACD1,HACD4
ELOVL4	ELOVL4	ELOVL4,ELOVL7,ELOVL2,ELOVL1,ELOVL5,ELOVL3,ELOVL6,HACD4,HACD1,HACD2,TECR
ELOVL5	ELOVL5	ELOVL5,ELOVL2,ELOVL3,ELOVL1,ELOVL7,ELOVL6,ELOVL4,FADS1,HACD1,HACD4,TECR
ELOVL6	ELOVL6	ELOVL6,ELOVL3,ELOVL7,ELOVL5,ELOVL2,ELOVL1,ELOVL4,SCD,HACD1,FADS1,HACD4
ELOVL7	ELOVL7	ELOVL7,ELOVL2,ELOVL1,ELOVL5,ELOVL3,ELOVL6,ELOVL4,HACD4,HACD1,HACD2,TECR
ELP1	ELP1	ELP1,CTU1,ELP5,CTU2,ELP6,URM1,ALKBH8,ELP4,TRMU,NSUN3,GTPBP3
ELP2	ELP2	ELP2,ELP4,ELP5,ELP6,ELP1,ELP3,CTU2,ALKBH8,CTU1,ELOA2,INTS10
ELP3	ELP3	ELP3,ELP5,ELP6,ELP1,ALKBH1,ELP4,ALKBH8,CTU2,CTU1,GTPBP3,DTWD2
ELP4	ELP4	ELP4,ELP2,ELP5,ELP6,ELP1,ELP3,CTU2,CTU1,ELOA2,ALKBH8,ELL2
ELP5	ELP5	ELP5,ELP6,ELP1,ELP4,ELP2,ELP3,CTU2,CTU1,URM1,GTPBP3,ALKBH8
ELP6	ELP6	ELP6,ELP5,ELP1,ELP4,ELP3,ELP2,CTU2,URM1,CTU1,KTI12,GTPBP3
ELSPBP1	ELSPBP1	ELSPBP1,BSPH1,LCN6,EDDM3A,IZUMO1R,EVA1C,ACRV1,SPACA7,SPATA46,ODF4,SPATA31A7
EMB	EMB	EMB,IGSF9,ROBO3,NEXN,AMIGO1,CADM2,PCDHGA3,ROBO4,CDH4,PCDHAC2,CLSTN2
EMC1	EMC1	EMC1,EMC3,EMC7,EMC9,EMC2,EMC8,EMC4,EMC6,WDR83OS,NOMO2,NOMO1
EMC10	EMC10	EMC10,MYDGF,AAMP,PDCL3,EMC7,EMC3,EMC9,EMC2,EMC1,THBS4,AGGF1
EMC2	EMC2	EMC2,EMC9,EMC8,EMC1,EMC3,EMC7,EMC4,EMC6,WDR83OS,REEP1,NOMO2
EMC3	EMC3	EMC3,EMC1,EMC7,EMC9,EMC2,EMC8,EMC4,EMC6,WDR83OS,NOMO2,NOMO1
EMC4	EMC4	EMC4,EMC3,EMC1,EMC9,EMC7,EMC8,EMC2,EMC6,WDR83OS,NOMO1,REEP1
EMC6	EMC6	EMC6,EMC7,EMC3,EMC1,EMC8,EMC9,EMC2,EMC4,PACS2,WDR83OS,VMP1
EMC7	EMC7	EMC7,EMC3,EMC1,EMC9,EMC2,EMC8,EMC4,EMC6,NOMO2,WDR83OS,NOMO1
EMC8	EMC8	EMC8,EMC9,EMC2,EMC3,EMC1,EMC7,EMC4,EMC6,WDR83OS,REEP1,NOMO2
EMC9	EMC9	EMC9,EMC3,EMC1,EMC2,EMC7,EMC8,EMC4,EMC6,WDR83OS,NOMO2,REEP1
EMCN	EMCN	EMCN,MYCT1,CRISPLD1,WDR7,ARMC6,SLC7A6OS,TMEM91,CNTNAP3,MUC17,SIRPD,ERVMER34-1
EME1	EME1	EME1,EME2,MUS81,SLX4,RAD9B,MDC1,NABP1,INIP,HUS1B,RAD17,INTS3
EME2	EME2	EME2,EME1,MUS81,NABP1,INIP,HUS1B,RMI2,SLX4,MDC1,RAD51B,MCM9
EMG1	EMG1	EMG1,WDR74,RRP7A,FCF1,KRR1,RRP9,DIMT1,METTL5,DNTTIP2,NOL6,UTP14C
EMID1	EMID1	EMID1,COL20A1,C1QTNF7,MXRA7,COL21A1,SFTA2,COL25A1,MUC19,CREG2,C15orf61,PATE3
EMILIN1	EMILIN1	EMILIN1,EMILIN2,FN1,TIE1,JUP,VTN,ITGAX,THY1,MMRN2,HRG,EGFL7
EMILIN2	EMILIN2	EMILIN2,EMILIN1,MMRN1,HRG,VTN,SERPINE1,FN1,THBS4,BST1,VWF,PLG
EMILIN3	EMILIN3	EMILIN3,SBSPON,ANGPTL5,COL21A1,C1QTNF9B,C1QTNF6,COL6A5,FIBCD1,COL24A1,COL6A6,C17orf58
EML1	EML1	EML1,KIF2A,TACC2,TACC3,TUBGCP2,MAP4,TUBG2,CAMSAP1,MAP1S,TUBGCP5,TUBB2A
EML2	EML2	EML2,CDC14A,SLAIN2,PSRC1,DRG1,FAM161A,SLAIN1,DIAPH1,CAMSAP2,CCDC8,SON
EML3	EML3	EML3,EML4,ANKRD53,CDCA8,KIFC1,NUDC,MAP9,KIF4B,PRC1,SPICE1,TACC3
EML4	EML4	EML4,EML3,RMDN1,CENPC,DCTN3,KIF11,KIF4B,CENPE,SKA1,KIFC1,TUBA3E
EML5	EML5	EML5,ACTR3B,GSTCD,CEP57L1,HSPA12A,GIPC2,ACTR3C,RUSC2,KLHL5,NXPE4,SBSN
EML6	EML6	EML6,JPT1,TPGS2,GRAMD2B,NICN1,IPP,THAP6,CCDC116,CCDC81,PROSER3,WIPF2
EMP1	EMP1	EMP1,EMP3,TMEM219,PDCD2L,RELT,KRTAP5-9,IFI27L1,TGM5,PMP22,BCL2L15,BLCAP
EMP2	EMP2	EMP2,ANXA2,CDH13,THY1,MYADM,ITGA6,ITGA1,CD2,FLOT2,CAV2,JUP
EMP3	EMP3	EMP3,EMP1,TMEM219,PDCD2L,IFI27L1,RELT,LGALS14,BCL2L15,BLCAP,CARD6,RASSF7
EMSY	EMSY	EMSY,PARPBP,BOD1L1,WDHD1,CHD1L,ASCC1,REXO4,HPF1,POGK,SSRP1,PHF1
EMX1	EMX1	EMX1,EMX2,ZNF335,UNK,SOX10,POU3F3,POU3F2,SOX8,MBNL1,LHX2,RNF112
EMX2	EMX2	EMX2,EMX1,LHX6,DRGX,NDN,ATOH1,DCLK1,LHX2,LMX1A,FEZF2,POU3F3
EN1	EN1	EN1,HOXD9,GLI2,NKX3-2,PAX5,HOXA2,HOXB8,ETS2,HOXC10,KDM2B,SATB2
EN2	EN2	EN2,OTP,FOXG1,KDM2B,NHLH2,TFAP2D,NEUROG3,POU4F1,POU3F2,GSX1,LHX4
ENAH	ENAH	ENAH,VASP,GAS7,TTC17,DSTN,PSTPIP2,FLII,VILL,CATIP,FSCN3,MICALL2
ENAM	ENAM	ENAM,AMTN,DSPP,DMP1,AMBN,STATH,TUFT1,CEMP1,MEPE,MMP20,KLK4
ENC1	ENC1	ENC1,TRIM3,TRIM2,MYLIP,KCTD13,SIAH1,TRIM67,SPOPL,BAG5,PRAME,DDA1
ENDOD1	ENDOD1	ENDOD1,BPIFB3,ANKHD1,SAA4,BPIFB1,DEFB112,DEFB108B,C1R,TMEM45B,RNASE1,CFI
ENDOG	ENDOG	ENDOG,PARP1,UBE2B,MCL1,PDCD5,BNIP3L,MLST8,IER3,POLG2,TRAIP,AIFM2
ENDOU	ENDOU	ENDOU,PRSS8,RHBDL1,KLK13,PRSS21,TPSG1,CFI,OVCH2,KLK11,TMPRSS4,TMPRSS11A
ENDOV	ENDOV	ENDOV,REXO4,FAN1,APTX,TDP1,EXO5,CHD1L,ZGRF1,POLI,HPF1,TDP2
ENG	ENG	ENG,TGFBR2,ACVRL1,HAND2,ROBO1,BMPR1A,BMPR2,TBX1,ACVR1,BMP4,TBX20
ENGASE	ENGASE	ENGASE,NGLY1,MAN2A2,MOGS,MGAT4B,ALG1L2,MGAT4A,MANBA,GCNT7,MGAT4C,MAN1B1
ENHO	ENHO	ENHO,TSPAN5,TM2D3,DLK1,INSL5,TSPAN14,TSPAN15,MAML2,MAML3,FLT3LG,RLN3
ENKD1	ENKD1	ENKD1,CEP126,WRAP73,MAP4,POC1A,CEP89,PCNT,CEP350,MAPRE1,CEP162,MISP
ENKUR	ENKUR	ENKUR,CFAP52,CFAP45,DRC7,DNALI1,MNS1,FSIP2,CABS1,CFAP206,TCTE1,IQCG
ENO1	ENO1	ENO1,FOXK2,ATF4,ATF3,FOXK1,KAT2B,MLXIPL,ZNF692,TRIB3,NCOA2,FBP1
ENO2	ENO2	ENO2,ENO3,HKDC1,TPI1,PGAM1,G6PC3,PGM1,ADPGK,SLC37A4,GPD1,G6PC2
ENO3	ENO3	ENO3,ENO2,TPI1,PGAM1,PGM1,G6PC3,GPD1,ADPGK,PYGM,ENO4,SLC37A4
ENO4	ENO4	ENO4,HYI,ENO3,PGM2L1,MPPED1,SERHL2,PHKG1,GDPGP1,ENO2,KIAA1191,AGFG2
ENOPH1	ENOPH1	ENOPH1,MRI1,ADI1,MAT2B,APIP,MAT1A,BHMT,BHMT2,MAT2A,MTRR,AHCYL2
ENOSF1	ENOSF1	ENOSF1,YDJC,DBT,ACY1,HMGCL,BCKDHA,IDH3A,ETFA,PCCA,ETFB,HIBADH
ENOX1	ENOX1	ENOX1,ENPP5,HEBP1,QSOX2,PDIA5,PRRC2A,ART5,PDAP1,ART3,PDIA4,SH3BGRL3
ENPEP	ENPEP	ENPEP,CMA1,AGTR1,PLCD3,VASH2,REN,TIE1,MYDGF,CPA3,CSPG4,NOX5
ENPP1	ENPP1	ENPP1,ENPP3,BPNT1,INPP5D,MINPP1,THTPA,SLC34A1,INPP1,NT5E,IPMK,IP6K2
ENPP2	ENPP2	ENPP2,PLA2G6,PIK3C2G,PLD1,PLA2G10,ADTRP,CCL8,CCL18,CCL15,CCL5,PLCG1
ENPP3	ENPP3	ENPP3,ENPP1,ABCC6,NT5E,LHPP,NUDT4,SLC20A1,ENTPD8,SLC4A7,NUDT2,AK4
ENPP4	ENPP4	ENPP4,GP5,F11,PROS1,SERPINC1,GP9,PROCR,GP1BA,ENTPD1,GGCX,ANXA5
ENPP5	ENPP5	ENPP5,DYTN,ALPI,SIGLEC6,ENTPD1,ART3,NUDT22,ART5,ZCCHC2,GFOD2,GFOD1
ENPP6	ENPP6	ENPP6,GDPD3,PLA2G15,TMEM86A,GDPD4,PNPLA6,PLBD2,CEPT1,PLA1A,PAFAH2,CHKA
ENPP7	ENPP7	ENPP7,SPTLC1,ORMDL1,SMPD2,SPTLC2,CERS2,ASAH2,ORMDL3,ORMDL2,PLPP1,SGMS2
ENSA	ENSA	ENSA,ARPP19,YWHAG,PIM3,PTPRE,VSNL1,TM7SF3,C1QTNF12,RAB11FIP5,STXBP4,PTPRN2
ENTHD1	ENTHD1	ENTHD1,NECAP1,EPN3,EPS15L1,FNBP1,NECAP2,REPS1,DENND1C,GPR107,CLINT1,EHBP1
ENTPD1	ENTPD1	ENTPD1,GP5,SIGLEC11,GP1BA,GP9,CD72,ENPP4,SIGLEC7,GP1BB,MYL12A,ICAM3
ENTPD2	ENTPD2	ENTPD2,P2RY14,GPR87,P2RY13,GPRC5D,GPRC5C,MRGPRX3,GPR45,GPR25,GPR162,MRGPRF
ENTPD3	ENTPD3	ENTPD3,ENTPD8,ITPA,DCTPP1,AK9,ENTPD4,AK1,NUDT18,ENTPD1,NT5C3B,DCTD
ENTPD4	ENTPD4	ENTPD4,ENTPD7,ENTPD5,NUDT18,NME3,ENTPD3,GALT,NME4,NME9,ENTPD8,NME6
ENTPD5	ENTPD5	ENTPD5,DPAGT1,GALT,ENTPD4,NUDT14,UGGT1,UGGT2,ALG14,MGAT1,GNPTG,GNPNAT1
ENTPD6	ENTPD6	ENTPD6,ENTPD3,ALPP,PPA1,ENTPD8,ALPI,ENTPD5,NUDT18,NT5C3B,D2HGDH,ENTPD4
ENTPD7	ENTPD7	ENTPD7,ENTPD4,NME3,NME6,NME4,NME1,CTPS1,NME9,NME7,NME2,DCTPP1
ENTPD8	ENTPD8	ENTPD8,ENTPD3,AK9,AK1,TK2,AK5,CMPK2,PRPSAP1,DCK,DNPH1,TK1
ENY2	ENY2	ENY2,ATXN7L3,SUPT3H,TAF5L,TRRAP,TAF6L,TADA2B,TADA1,SUPT20H,SGF29,TADA2A
EOGT	EOGT	EOGT,GALNTL6,GALNT16,B3GALNT2,GALNT6,GALNT1,GALNT13,GALNT2,GALNT18,GALNT10,GALNT9
EOMES	EOMES	EOMES,SMO,BCL11B,SRF,TLX2,ZEB1,NKX2-1,TBX6,POU3F2,RUNX3,SOX2
EP300	EP300	EP300,CREBBP,FOXO1,EGR1,KAT2A,EPO,KAT2B,IRF3,YWHAZ,HSPA1A,NKX3-1
EP400	EP400	EP400,ING3,MRGBP,EPC2,MORF4L1,MBTD1,SRCAP,TRRAP,YEATS4,MEAF6,VPS72
EPAS1	EPAS1	EPAS1,ARNT,EGLN1,EPO,ANG,HIF3A,LEP,ANGPT2,MMP14,CITED2,SOX4
EPB41	EPB41	EPB41,EPB41L2,EHD2,EPB41L1,ADD1,DMTN,PFN3,FMNL2,CTTN,PACSIN2,BAIAP2L1
EPB41L1	EPB41L1	EPB41L1,THSD7B,FRMD3,ACTL7B,EPB41L2,EPB41L4A,EPB41,GAS2L3,FMNL2,SMTNL2,TTC17
EPB41L2	EPB41L2	EPB41L2,EPB41,EPB41L1,EHD2,FMNL1,FMNL2,PHACTR1,ERMN,SH3D19,NLRP5,BAIAP2L1
EPB41L3	EPB41L3	EPB41L3,CNTNAP1,UGT8,MAL,ERMN,ATCAY,CTNNA2,CYFIP2,MPP4,BAIAP2,LLGL1
EPB41L4A	EPB41L4A	EPB41L4A,FRMD3,KLHL5,EPB41L1,MYO1F,ACTL7B,THSD7B,CGN,CCDC6,TNS4,ACTR3B
EPB41L4B	EPB41L4B	EPB41L4B,EPPK1,FRMD5,FAM83H,CD151,TJP1,MACF1,PALLD,FERMT1,BAIAP2L1,KRT17
EPB41L5	EPB41L5	EPB41L5,CRB2,PHLDB1,TGFBR1,DLG5,WNT11,TGFB2,BMP7,LAMA1,TGFB3,GATA3
EPB42	EPB42	EPB42,FLVCR1,MAEA,SPTA1,TTC7A,PLEC,GLRX5,AHSP,SLC40A1,BOLA3,FMNL2
EPC1	EPC1	EPC1,CHD4,UHRF1,YY1,DMAP1,ZBTB7A,VPS72,ZMYND8,SMARCA2,SGF29,MLX
EPC2	EPC2	EPC2,MRGBP,MORF4L1,MBTD1,TRRAP,EP400,ING3,MEAF6,YEATS4,MCRS1,RUVBL1
EPCAM	EPCAM	EPCAM,SDC4,AFDN,ILK,NPNT,TACSTD2,WNT6,RET,DCHS1,FLOT2,CTNNBIP1
EPDR1	EPDR1	EPDR1,MSLN,SNED1,FBLN7,HABP2,NID2,CERCAM,ADAM12,LYPD3,BCAM,OMD
EPG5	EPG5	EPG5,UNC93B1,WDFY1,RFTN1,TNIP1,PIK3AP1,SCARA3,CTSS,TNIP3,AP3B1,TICAM2
EPGN	EPGN	EPGN,TGFA,PROK1,GAREM1,EGF,MYDGF,IQGAP1,EGFR,PTPN3,FGF22,NRAS
EPHA1	EPHA1	EPHA1,CASS4,THY1,ITGA1,FERMT1,FERMT2,ITGAX,SKAP1,FBLN1,EPHA3,FN1
EPHA10	EPHA10	EPHA10,EPHA6,EPHB6,EFNA4,CHN1,KALRN,EFNB3,ANKS1B,ANKS1A,EPHA5,SIPA1L1
EPHA2	EPHA2	EPHA2,ITGB1BP1,EFNB2,TIE1,MMP14,JAG1,ROBO1,MMP2,TMEM100,COL1A1,SEMA5A
EPHA3	EPHA3	EPHA3,EFNA5,EPHA8,EPHA1,FERMT2,THY1,MACF1,TPBG,DAG1,EPHA4,PFN2
EPHA4	EPHA4	EPHA4,EFNA5,CLDN3,EPHA3,CXCL12,AGER,EPHB2,MAG,CIB1,DAB1,EPHA8
EPHA5	EPHA5	EPHA5,EPHA8,CHN1,EPHA7,EPHA6,EPHA10,EFNA5,SIPA1L1,EFNB3,NGEF,EPHB6
EPHA6	EPHA6	EPHA6,EPHA10,EPHB6,EFNA4,CHN1,ANKS1B,EFNB3,KALRN,ANKS1A,SIPA1L1,EFNA2
EPHA7	EPHA7	EPHA7,EFNA5,EPHB2,NTRK1,NTRK2,MUSK,RELN,PRKG1,RPS6KA1,PPP2R5B,STK4
EPHA8	EPHA8	EPHA8,ANKS1A,EPHA3,EFNA5,TPBG,ITGA1,RET,EPHA5,PTPRF,ITGA6,EPHA1
EPHB1	EPHB1	EPHB1,NRCAM,EPHB3,NRP2,RELN,NRP1,PLXND1,WNT7A,GDF7,SEMA4A,DCC
EPHB2	EPHB2	EPHB2,EPHA7,NTRK2,EFNA5,PTPRO,STK4,NTRK1,CRKL,RELN,DVL1,DTNBP1
EPHB3	EPHB3	EPHB3,NRCAM,EPHB1,NRP2,EPHA8,DSCAM,RELN,PLXND1,SEMA3A,GDF7,CNTN4
EPHB4	EPHB4	EPHB4,FLT1,JCAD,CSPG4,SHC1,THY1,MMRN2,EPHA8,ANGPT4,TIE1,AGGF1
EPHB6	EPHB6	EPHB6,EPHA10,EPHA6,EFNA4,KALRN,CHN1,ANKS1B,EFNB3,ANKS1A,EFNA3,EPHA5
EPHX1	EPHX1	EPHX1,CYP2F1,CYP2B6,CYP2A6,CYP3A5,CYP2C9,CYP2C8,CYP1A1,UGT2B15,UGT2B17,CYP1A2
EPHX2	EPHX2	EPHX2,PON1,GPX4,CES1,ABCG4,SEC14L2,FMO5,ABCG5,PMVK,SULT2B1,ALOX15
EPHX3	EPHX3	EPHX3,TMEM86A,CYP4X1,FMO5,UGT2B10,ABHD11,CYP2C8,AGMO,RDH16,AADAC,CYP3A5
EPHX4	EPHX4	EPHX4,TMPPE,AADACL4,AADACL3,TMEM62,ABHD14A,ASPHD1,ASPHD2,ALDH16A1,PLD5,AADACL2
EPM2A	EPM2A	EPM2A,ULK1,SH3GLB1,C9orf72,GPR137B,WDR24,RHEB,MTOR,SMCR8,SCOC,AMBRA1
EPM2AIP1	EPM2AIP1	EPM2AIP1,PPP1R3A,PPP1R3G,AKT2,PPP1R3E,PPP1R3C,PPP1R3D,GYS2,AGL,PHKG2,PPP1R3B
EPN1	EPN1	EPN1,EPN2,TSPAN15,GATA2,BMP2K,JAG2,RFNG,NRARP,DLK1,TMEM100,MIB1
EPN2	EPN2	EPN2,NRARP,EGFL7,KRIT1,EPN1,ITGB1BP1,TSPAN15,IL12A,PDCD6,ACKR3,ANGPT4
EPN3	EPN3	EPN3,ENTHD1,EPS15L1,REPS1,CLINT1,DENND1C,NECAP1,FNBP1,GPR107,NECAP2,CLTB
EPO	EPO	EPO,MYB,EGR1,LEP,REST,SIN3A,TRPV4,MYOCD,ARNT,FOXP1,ASCL2
EPOP	EPOP	EPOP,NKX1-2,ELF5,PHF19,VRTN,ELF2,AEBP2,FOXD4L3,BRD3,ZBTB8B,LCORL
EPOR	EPOR	EPOR,FLT3LG,PGF,SH2B3,THPO,SHB,TNFSF12,PDGFB,ANGPT1,PDGFC,IL11RA
EPPIN	EPPIN	EPPIN,SPINK2,SPINK13,SEMG1,SEMG2,SERPINB4,SERPINA9,SERPINB11,SERPINB10,ANXA8L1,FETUB
EPPK1	EPPK1	EPPK1,KRT4,EPB41L4B,FAM83H,KRT17,CD109,KRT36,MACF1,TMEFF2,KDF1,KRT6A
EPS15	EPS15	EPS15,AP2M1,AP2A1,GAK,NSF,RAB5A,PICK1,RAB29,STX6,SCARB2,DENND1A
EPS15L1	EPS15L1	EPS15L1,REPS1,NECAP1,ENTHD1,EPN3,NECAP2,FNBP1,DENND1C,EHBP1,GAPVD1,CLTB
EPS8	EPS8	EPS8,CYFIP1,NCKAP1,RHOG,CFL1,ABI2,AIF1,WASF1,CDC42EP3,CORO1B,FARP2
EPS8L1	EPS8L1	EPS8L1,ARHGEF3,EPS8L2,EPS8L3,TAGAP,ARHGEF1,RHOD,ARHGAP20,ARHGAP29,ARHGEF18,RHOG
EPS8L2	EPS8L2	EPS8L2,EPS8L1,EPS8L3,ARHGEF3,TAGAP,ARHGEF1,RHOD,ARHGAP20,RHOG,ARHGEF18,ARHGAP29
EPS8L3	EPS8L3	EPS8L3,EPS8L1,EPS8L2,CDC42EP3,ARHGEF3,TAGAP,C15orf62,ARHGAP20,RHOG,ARHGEF18,ARHGEF1
EPX	EPX	EPX,PRG2,HP,ACP5,BPI,PRDX2,LTF,PRDX5,PXDNL,PRG3,PRDX6
EPYC	EPYC	EPYC,OTOR,COL11A1,THBS3,MATN3,COL11A2,MATN1,VIT,MGP,OPTC,COCH
EQTN	EQTN	EQTN,GLIPR1L1,DCST2,SPESP1,TMEM95,IZUMO1,SPACA3,CRISP1,SPATA46,CCDC136,LYZL6
ERAL1	ERAL1	ERAL1,MRPS7,MRPS35,MRPS18C,MRPS6,MRPS17,MRPL1,MRPS21,MRPS18A,MRPS23,MRPS11
ERAP1	ERAP1	ERAP1,ERAP2,PDIA3,HLA-C,HLA-DQA1,HLA-DRB5,IFI30,LNPEP,MR1,HLA-DQB2,HLA-DQB1
ERAP2	ERAP2	ERAP2,ERAP1,HLA-DRB5,HLA-C,HLA-DQB2,ABCB9,HLA-DQA1,TAP1,MFSD6,MR1,HLA-DOA
ERBB2	ERBB2	ERBB2,EGFR,LTK,ALKAL1,ALKAL2,MUSK,PDGFRB,NTRK3,ERBB3,ROR2,ERBB4
ERBB3	ERBB3	ERBB3,ERBB2,MAP2K1,NRG1,MAP2K2,ERBB4,PTPRJ,ROR2,HBEGF,SHC1,CRKL
ERBB4	ERBB4	ERBB4,HTR2B,EGFR,ERBB2,CORO1C,NRTN,RET,PDGFRB,ROR2,CRKL,MAP2K1
ERBIN	ERBIN	ERBIN,FLOT2,FERMT2,EPHA3,ITGA1,LIMS1,LPXN,DAB2,PARD3,PTPRK,CLDN18
ERC1	ERC1	ERC1,MAPK8IP1,PAK6,TOM1L1,RHOH,CPNE1,ZFPL1,RNF6,TRAK1,APBB3,APBB2
ERC2	ERC2	ERC2,BSN,RIMS4,UNC13C,PCLO,RIMS3,PRRT2,UNC13B,UNC13A,PPFIA3,GRIK5
ERCC1	ERCC1	ERCC1,OGG1,POLB,XPC,PNKP,XRCC5,XRCC1,ERCC6,ERCC4,MRE11,TP53BP1
ERCC2	ERCC2	ERCC2,BYSL,TSR1,GTF2H5,NOL10,WDR12,URB1,UTP4,RBM34,BMS1,RPS19
ERCC3	ERCC3	ERCC3,OGG1,ERCC1,PCNA,ERCC5,GTF2H3,XPA,GTF2H4,ERCC6,POLB,UVSSA
ERCC4	ERCC4	ERCC4,TERF2IP,RTEL1,XRCC6,XRCC5,ACTR5,RAD50,POT1,NABP2,ERCC1,TERF1
ERCC5	ERCC5	ERCC5,FEN1,NEIL3,SMARCAL1,RAD51AP1,RNF169,POLL,XPA,RAD51B,POLN,TONSL
ERCC6	ERCC6	ERCC6,OGG1,ERCC1,TP53BP1,XRCC1,SETX,BRIP1,ERCC8,ERCC3,PARP1,RNF8
ERCC6L2	ERCC6L2	ERCC6L2,RAD54L2,CHD9,CHD1L,RAD54L,ZRANB3,CBX3,SMARCAD1,RAD54B,PHF1,CHD1
ERCC8	ERCC8	ERCC8,DDB2,RNF168,RNF8,UVSSA,RAD23B,PSMD14,SPRTN,UBE2N,OGG1,RAD18
EREG	EREG	EREG,EGF,FGF1,INSL3,PGR,SRC,TGFA,FGF9,ANG,FGFR2,EGFR
ERF	ERF	ERF,ZHX1,ZNF431,GLIS1,HMX1,ELK4,MXD4,FOXP4,DLX4,ZBTB5,ZNF140
ERFE	ERFE	ERFE,TF,TMEM64,UBASH3B,RNF41,GPR137B,LRRK1,IGFBP3,PIP4K2C,CPNE1,PIP4K2A
ERG	ERG	ERG,FIZ1,RBPJL,SPIB,GMEB1,ZNF33B,ZNF225,ZNF71,ZNF629,ZNF594,ZNF300
ERGIC1	ERGIC1	ERGIC1,ERGIC2,TMED7,TMED6,ERGIC3,GOSR2,GOLT1A,YIF1A,TMED3,YIPF4,COPB2
ERGIC2	ERGIC2	ERGIC2,ERGIC1,GOLT1A,TMED7,TMED6,ERGIC3,GOSR2,YIPF4,YIF1A,TMED3,COPB2
ERGIC3	ERGIC3	ERGIC3,ERGIC1,ERGIC2,COPB2,TMED7,LMAN2,GOLT1A,TMED6,YIF1A,COPZ2,CNIH4
ERH	ERH	ERH,NT5C3A,REXO2,DCTD,DPYSL2,EXD3,TK2,SRBD1,CRMP1,TK1,TPMT
ERI1	ERI1	ERI1,TUT1,EXOSC2,EXOSC9,EXOSC7,MBLAC1,EXOSC3,DIS3,EXOSC4,EXOSC10,XRN2
ERI2	ERI2	ERI2,ERI3,UTP23,TBL3,NOP9,RCL1,TSR1,ERI1,EXOSC7,KRI1,RPP40
ERI3	ERI3	ERI3,ERI2,UTP23,TBL3,NOP9,RCL1,ERI1,TSR1,EXOSC7,KRI1,RPP40
ERICH1	ERICH1	ERICH1,AARD,C6orf47,TTC32,PCED1B,ANKRD36B,ANKRD29,FBXO16,TTC33,PCED1A,C2orf68
